setID,number,numberVariant,name,year,theme,themeGroup,subtheme,pieces,minifigs,image,imageFilename,thumbnailURL,largeThumbnailURL,imageURL,bricksetURL,released,owned,wanted,qtyOwned,ACMDataCount,ownedByTotal,wantedByTotal,UKRetailPrice,USRetailPrice,CARetailPrice,EURetailPrice,USDateAddedToSAH,USDateRemovedFromSAH,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,ageMin,ageMax,height,width,depth,weight,category,userRating,EAN,UPC,lastUpdated
5869,2064,1,Rescue plane,2007,City,Modern day,Airport,116,2,true,2064-1,https://images.brickset.com/sets/small/2064-1.jpg,https://images.brickset.com/sets/small/2064-1.jpg,https://images.brickset.com/sets/images/2064-1.jpg,https://brickset.com/sets/2064-1,true,false,false,0,0,613,1570,,,,,,,4.166666667,6,Box,Promotional (Airline),2,0,,,,,,,Normal,0,,,2018-11-21T01:18:04.873
6491,2230,1,In-flight Helicopter and Raft,2008,City,Modern day,Airport,115,2,true,2230-1,https://images.brickset.com/sets/small/2230-1.jpg,https://images.brickset.com/sets/small/2230-1.jpg,https://images.brickset.com/sets/images/2230-1.jpg,https://brickset.com/sets/2230-1,true,false,false,0,0,340,1297,,,,,,,4.5,2,Box,Promotional (Airline),2,0,,,,,,,Normal,0,,6.73419E+11,2019-01-13T09:01:04.843
7639,2824,1,City Advent Calendar,2010,City,Modern day,Seasonal,271,6,true,2824-1,https://images.brickset.com/sets/small/2824-1.jpg,https://images.brickset.com/sets/small/2824-1.jpg,https://images.brickset.com/sets/images/2824-1.jpg,https://brickset.com/sets/2824-1,true,false,false,0,0,3418,948,24.99,34.99,39.99,,2010-09-05,2010-11-18,4.142857143,7,Box,Retail - limited,0,3,5,12,26.19,38.2,7.06,0.43,Normal,0,5.70201E+12,6.73419E+11,2012-10-02T23:51:38.32
5343,2928,1,City In-Flight 2006,2006,City,Modern day,Airport,141,2,true,2928-1,https://images.brickset.com/sets/small/2928-1.jpg,https://images.brickset.com/sets/small/2928-1.jpg,https://images.brickset.com/sets/images/2928-1.jpg,https://brickset.com/sets/2928-1,true,false,false,0,0,558,1385,,,,,,,4.5,2,Box,Promotional (Airline),2,0,,,,,,,Normal,0,,6.73419E+11,2018-11-21T03:23:57.547
7261,3177,1,Small Car,2010,City,Modern day,Traffic,43,1,true,3177-1,https://images.brickset.com/sets/small/3177-1.jpg,https://images.brickset.com/sets/small/3177-1.jpg,https://images.brickset.com/sets/images/3177-1.jpg,https://brickset.com/sets/3177-1,true,false,false,0,0,13026,1650,3.99,4.99,6.99,,2009-12-30,2012-11-17,4.451612903,93,Box,Retail,2,7,5,12,9.09,12.19,5.84,0.06,Normal,0,5.70201E+12,6.73419E+11,2013-01-14T04:05:59.397
7262,3178,1,Seaplane,2010,City,Modern day,Airport,102,1,true,3178-1,https://images.brickset.com/sets/small/3178-1.jpg,https://images.brickset.com/sets/small/3178-1.jpg,https://images.brickset.com/sets/images/3178-1.jpg,https://brickset.com/sets/3178-1,true,false,false,0,0,8763,1393,8.49,10.99,14.99,,2009-12-30,2012-11-23,4.565217391,23,Box,Retail,6,11,5,12,14.1,19.1,6.1,0.18,Normal,0,5.70201E+12,6.73419E+11,2010-09-02T17:14:00.067
7263,3179,1,Repair Truck,2010,City,Modern day,Traffic,118,1,true,3179-1,https://images.brickset.com/sets/small/3179-1.jpg,https://images.brickset.com/sets/small/3179-1.jpg,https://images.brickset.com/sets/images/3179-1.jpg,https://brickset.com/sets/3179-1,true,false,false,0,0,9512,1902,9.99,12.99,17.99,,2009-12-30,2011-12-26,4.48,25,Box,Retail,2,12,5,12,14.1,26.19,6.1,0.21,Normal,0,5.70201E+12,6.73419E+11,2013-01-14T04:06:23.177
7264,3180,1,Tank Truck,2010,City,Modern day,Traffic,222,1,true,3180-1,https://images.brickset.com/sets/small/3180-1.jpg,https://images.brickset.com/sets/small/3180-1.jpg,https://images.brickset.com/sets/images/3180-1.jpg,https://brickset.com/sets/3180-1,true,false,false,0,0,8746,2726,14.99,19.99,26.99,,2010-05-30,2011-12-18,4.434782609,23,Box,Retail,2,11,5,12,19.1,35.41,9.09,0.49,Normal,0,5.70201E+12,6.73419E+11,2013-01-14T04:02:26.15
7298,3181,1,Passenger Plane,2010,City,Modern day,Airport,309,3,true,3181-1,https://images.brickset.com/sets/small/3181-1.jpg,https://images.brickset.com/sets/small/3181-1.jpg,https://images.brickset.com/sets/images/3181-1.jpg,https://brickset.com/sets/3181-1,true,false,false,0,0,5787,2365,35.99,39.99,54.99,,2010-05-30,2012-10-10,4.1,20,Box,Retail,4,15,5,12,28.19,48.01,7.39,0.76,Normal,0,5.70201E+12,6.73419E+11,2010-01-22T15:30:10.873
7265,3182,1,Airport,2010,City,Modern day,Airport,703,5,true,3182-1,https://images.brickset.com/sets/small/3182-1.jpg,https://images.brickset.com/sets/small/3182-1.jpg,https://images.brickset.com/sets/images/3182-1.jpg,https://brickset.com/sets/3182-1,true,false,false,0,0,5097,3250,81.99,99.99,129.99,,2010-05-30,2012-12-07,4.666666667,15,Box,Retail,18,16,6,12,37.8,58.19,10.31,1.96,Normal,0,5.70201E+12,6.73419E+11,2010-01-22T15:30:13.107
