setID,number,numberVariant,name,year,theme,themeGroup,subtheme,pieces,minifigs,image,imageFilename,thumbnailURL,largeThumbnailURL,imageURL,bricksetURL,released,owned,wanted,qtyOwned,ACMDataCount,ownedByTotal,wantedByTotal,UKRetailPrice,USRetailPrice,CARetailPrice,EURetailPrice,USDateAddedToSAH,USDateRemovedFromSAH,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,ageMin,ageMax,height,width,depth,weight,category,userRating,EAN,UPC,lastUpdated
5000,1194,1,Birthday Table Set,1999,Classic,Basic,,400,,true,1194-1,https://images.brickset.com/sets/small/1194-1.jpg,https://images.brickset.com/sets/small/1194-1.jpg,https://images.brickset.com/sets/images/1194-1.jpg,https://brickset.com/sets/1194-1,true,false,false,0,0,92,66,,20,,,,,2.5,2,{Not specified},{Not specified},0,0,,,,,,,Normal,0,,,2005-06-11T17:45:27
248,1298,1,Advent Calendar,1998,Classic,Basic,,216,,true,1298-1,https://images.brickset.com/sets/small/1298-1.jpg,https://images.brickset.com/sets/small/1298-1.jpg,https://images.brickset.com/sets/images/1298-1.jpg,https://brickset.com/sets/1298-1,true,false,false,0,0,230,112,,20,,,,,2.5,2,Box,Retail - limited,0,0,,,,,,,Normal,0,,,2012-10-02T23:30:14.04
621,1841,1,{Aeroplane},1999,Classic,Basic,,15,,true,1841-1,https://images.brickset.com/sets/small/1841-1.jpg,https://images.brickset.com/sets/small/1841-1.jpg,https://images.brickset.com/sets/images/1841-1.jpg,https://brickset.com/sets/1841-1,true,false,false,0,0,307,80,,0,,,,,2.5,2,Polybag,Promotional,0,1,,,,,,,Normal,0,,,1999-11-02T19:41:18
702,1995,1,{Racer},1999,Classic,Basic,,15,,true,1995-1,https://images.brickset.com/sets/small/1995-1.jpg,https://images.brickset.com/sets/small/1995-1.jpg,https://images.brickset.com/sets/images/1995-1.jpg,https://brickset.com/sets/1995-1,true,false,false,0,0,340,79,,0,,,,,2.66666666666667,3,Polybag,Promotional,0,1,,,,,,,Normal,0,,,1999-11-02T19:43:09
723,2025,1,{Boat},1999,Classic,Basic,,12,,true,2025-1,https://images.brickset.com/sets/small/2025-1.jpg,https://images.brickset.com/sets/small/2025-1.jpg,https://images.brickset.com/sets/images/2025-1.jpg,https://brickset.com/sets/2025-1,true,false,false,0,0,309,80,,0,,,,,2.33333333333333,3,Polybag,Promotional,0,1,,,,,,,Normal,0,,,1999-11-02T19:42:22
730,2032,1,{Helicopter},1999,Classic,Basic,,18,,true,2032-1,https://images.brickset.com/sets/small/2032-1.jpg,https://images.brickset.com/sets/small/2032-1.jpg,https://images.brickset.com/sets/images/2032-1.jpg,https://brickset.com/sets/2032-1,true,false,false,0,0,387,84,,,,,,,4,1,Polybag,Promotional,0,1,,,,,,,Normal,0,,,1999-11-02T19:42:38
740,2045,1,{Car},1999,Classic,Basic,,17,,true,2045-1,https://images.brickset.com/sets/small/2045-1.jpg,https://images.brickset.com/sets/small/2045-1.jpg,https://images.brickset.com/sets/images/2045-1.jpg,https://brickset.com/sets/2045-1,true,false,false,0,0,363,75,,0,,,,,4,2,Polybag,Promotional,0,1,,,,,,,Normal,0,,,1999-11-02T19:42:48
742,2047,1,{Aeroplane},1999,Classic,Basic,,13,,true,2047-1,https://images.brickset.com/sets/small/2047-1.jpg,https://images.brickset.com/sets/small/2047-1.jpg,https://images.brickset.com/sets/images/2047-1.jpg,https://brickset.com/sets/2047-1,true,false,false,0,0,325,80,,0,,,,,2,1,Polybag,Promotional,0,1,,,,,,,Normal,0,,,1999-11-02T19:42:59
754,2069,1,{Boat},1999,Classic,Basic,,15,,true,2069-1,https://images.brickset.com/sets/small/2069-1.jpg,https://images.brickset.com/sets/small/2069-1.jpg,https://images.brickset.com/sets/images/2069-1.jpg,https://brickset.com/sets/2069-1,true,false,false,0,0,345,80,,0,,,,,2,1,Polybag,Promotional,0,1,,,,,,,Normal,0,,,1999-11-02T19:43:09
759,2075,1,{Aeroplane},1999,Classic,Basic,,14,,true,2075-1,https://images.brickset.com/sets/small/2075-1.jpg,https://images.brickset.com/sets/small/2075-1.jpg,https://images.brickset.com/sets/images/2075-1.jpg,https://brickset.com/sets/2075-1,true,false,false,0,0,338,85,,0,,,,,4,1,Polybag,Promotional,0,1,,,,,,,Normal,0,,,1999-11-02T19:43:09
4956,4281,1,Trial Classic Bag 3+,1999,Classic,Basic,,25,,true,4281-1,https://images.brickset.com/sets/small/4281-1.jpg,https://images.brickset.com/sets/small/4281-1.jpg,https://images.brickset.com/sets/images/4281-1.jpg,https://brickset.com/sets/4281-1,true,false,false,0,0,18,43,,2,,,,,0,0,Polybag,{Not specified},1,0,,,,,,,Normal,0,,,2012-05-22T18:04:26.39
4957,4282,1,Trial Classic Bag 5+,1999,Classic,Basic,,37,,true,4282-1,https://images.brickset.com/sets/small/4282-1.jpg,https://images.brickset.com/sets/small/4282-1.jpg,https://images.brickset.com/sets/images/4282-1.jpg,https://brickset.com/sets/4282-1,true,false,false,0,0,35,42,,2,,,,,5,1,Polybag,{Not specified},1,0,,,,,,,Normal,0,,,2012-05-22T18:04:23.19
