ID,SetNumber,URL,Images,Description,Notes,DashedNumber,Preselect
4935,5621,https://www.lego.com/biassets/bi/4533234.pdf,https://www.lego.com/biassets/biimg/4533234.png,Coast Guard Kayak,"BUILD INSTR 2001, 5621 IN",5621-1,coastguard
4936,5621,https://www.lego.com/biassets/bi/4533236.pdf,https://www.lego.com/biassets/biimg/4533236.png,Coast Guard Kayak,"BUILD INSTR 2001, 5621 NA",5621-1,coastguard
4939,5626,https://www.lego.com/biassets/bi/4527545.pdf,https://www.lego.com/biassets/biimg/4527545.png,Coastguard Bike,"BUILD. INSTR. 2001, 5626 IN",5626-1,coastguard
4940,5626,https://www.lego.com/biassets/bi/4527546.pdf,https://www.lego.com/biassets/biimg/4527546.png,Coastguard Bike,"BUILD. INSTR. 2001, 5626 NA",5626-1,coastguard
5481,6435,https://www.lego.com/biassets/bi/4123530.pdf,https://www.lego.com/biassets/biimg/4123530.png,COAST GUARD,BUI.INS.6435 BUILD 1W/LOOK 1/7,6435-1,coastguard
5482,6435,https://www.lego.com/biassets/bi/4123531.pdf,https://www.lego.com/biassets/biimg/4123531.png,COAST GUARD,BUI.IN.6435 BUILD 2W/LAND 2/7,6435-1,coastguard
5483,6435,https://www.lego.com/biassets/bi/4123532.pdf,https://www.lego.com/biassets/biimg/4123532.png,COAST GUARD,BUILD.INST.6435 HELICOPTER 3/7,6435-1,coastguard
5484,6435,https://www.lego.com/biassets/bi/4123533.pdf,https://www.lego.com/biassets/biimg/4123533.png,COAST GUARD,BUI.IN.6435 4WD COAST GUA. 4/7,6435-1,coastguard
5485,6435,https://www.lego.com/biassets/bi/4123534.pdf,https://www.lego.com/biassets/biimg/4123534.png,COAST GUARD,BUILD.INST.6435 MOTORCYCLE 5/7,6435-1,coastguard
5486,6435,https://www.lego.com/biassets/bi/4123535.pdf,https://www.lego.com/biassets/biimg/4123535.png,COAST GUARD,BUI.IN.6435 COAST GUARD BO 6/7,6435-1,coastguard
5487,6435,https://www.lego.com/biassets/bi/4123536.pdf,https://www.lego.com/biassets/biimg/4123536.png,COAST GUARD,"BUI.IN.6435 RUB.BOAT,SHARK 7/7",6435-1,coastguard
5489,6437,https://www.lego.com/biassets/bi/4123528.pdf,https://www.lego.com/biassets/biimg/4123528.png,Coastguard 4WD,BUIL.INST.6437 COAST GUARD 1/1,6437-1,coastguard
4166,7047,https://www.lego.com/biassets/bi/4227676.pdf,https://www.lego.com/biassets/biimg/4227676.png,Coast Watch HQ,BI 7047,7047-1,coastguard
5820,4022,https://www.lego.com/biassets/bi/4101162.pdf,https://www.lego.com/biassets/biimg/4101162.png,COAST GUARD,No longer listed at LEGO.com,4022-1,coastguard
