ID,SetNumber,URL,Images,Description,Notes,DashedNumber,Preselect
628,1246,https://www.lego.com/biassets/bi/4129318.pdf,https://www.lego.com/biassets/biimg/4129318.png,POLICE HELICOPTER,BUILD.INST FOR 1246,1246-1,police
629,1247,https://www.lego.com/biassets/bi/4129319.pdf,https://www.lego.com/biassets/biimg/4129319.png,POLICE PATROL CAR,BUILD.INST. FOR 1247,1247-1,police
665,1297,https://www.lego.com/biassets/bi/4133288.pdf,https://www.lego.com/biassets/biimg/4133288.png,POLICE CAR,BUILD.INSTR. 1297,1297-1,police
800,2234,https://www.lego.com/biassets/bi/4117705.pdf,https://www.lego.com/biassets/biimg/4117705.png,POLICE W. 2 ROAD PLATES,BUILDINSTR. 2234 1/7,2234-1,police
801,2234,https://www.lego.com/biassets/bi/4117706.pdf,https://www.lego.com/biassets/biimg/4117706.png,POLICE W. 2 ROAD PLATES,BUILDINSTR. 2234 2/7,2234-1,police
802,2234,https://www.lego.com/biassets/bi/4117707.pdf,https://www.lego.com/biassets/biimg/4117707.png,POLICE W. 2 ROAD PLATES,BUILDINSTR. 2234 3/7,2234-1,police
803,2234,https://www.lego.com/biassets/bi/4117708.pdf,https://www.lego.com/biassets/biimg/4117708.png,POLICE W. 2 ROAD PLATES,BUILDINSTR. 2234 4/7,2234-1,police
804,2234,https://www.lego.com/biassets/bi/4117709.pdf,https://www.lego.com/biassets/biimg/4117709.png,POLICE W. 2 ROAD PLATES,BUILDINSTR. 2234 5/7,2234-1,police
805,2234,https://www.lego.com/biassets/bi/4117710.pdf,https://www.lego.com/biassets/biimg/4117710.png,POLICE W. 2 ROAD PLATES,BUILDINSTR. 2234 6/7,2234-1,police
806,2234,https://www.lego.com/biassets/bi/4117711.pdf,https://www.lego.com/biassets/biimg/4117711.png,POLICE W. 2 ROAD PLATES,BUILDINSTR. 2234 7/7,2234-1,police
1101,3314,https://www.lego.com/biassets/bi/4118009.pdf,https://www.lego.com/biassets/biimg/4118009.png,RIOT POLICE,BUILDING INSTR. FOR 3314,3314-1,police
4937,5625,https://www.lego.com/biassets/bi/4527542.pdf,https://www.lego.com/biassets/biimg/4527542.png,Police 4x4,"BUILD. INSTR. 2001, 5625 IN",5625-1,police
4938,5625,https://www.lego.com/biassets/bi/4527544.pdf,https://www.lego.com/biassets/biimg/4527544.png,Police 4x4,"BUILD. INSTR. 2001, 5625 NA",5625-1,police
4953,5681,https://www.lego.com/biassets/bi/4624786.pdf,https://www.lego.com/biassets/biimg/4624786.png,DUPLO Police,BI 3005/16 GLUED-5681 V29/V39,5681-1,police
5211,5985,https://www.lego.com/biassets/bi/4600509.pdf,https://www.lego.com/biassets/biimg/4600509.png,Space Police Central,BI 3006/72+4 - 5985 V 29 1/2,5985-1,police
5212,5985,https://www.lego.com/biassets/bi/4600510.pdf,https://www.lego.com/biassets/biimg/4600510.png,Space Police Central,BI 3006/72+4 - 5985 V 39 1/2,5985-1,police
5213,5985,https://www.lego.com/biassets/bi/4600511.pdf,https://www.lego.com/biassets/biimg/4600511.png,Space Police Central,BI 3009/60 - 5985 V 29 2/2,5985-1,police
5214,5985,https://www.lego.com/biassets/bi/4600512.pdf,https://www.lego.com/biassets/biimg/4600512.png,Space Police Central,BI 3009/60 - 5985 V 39 2/2,5985-1,police
5418,6328,https://www.lego.com/biassets/bi/4115446.pdf,https://www.lego.com/biassets/biimg/4115446.png,Police Helitran,BUILD.INS. 6328 TRUCK 1/3,6328-1,police
5419,6328,https://www.lego.com/biassets/bi/4115447.pdf,https://www.lego.com/biassets/biimg/4115447.png,Police Helitran,BUILD.INS.6328 HELICOPTER 2/3,6328-1,police
5420,6328,https://www.lego.com/biassets/bi/4115448.pdf,https://www.lego.com/biassets/biimg/4115448.png,Police Helitran,BUILD.INS.6328 FORE-CARR.3/3,6328-1,police
5432,6332,https://www.lego.com/biassets/bi/4115459.pdf,https://www.lego.com/biassets/biimg/4115459.png,Police Headquarters,BUILD.INS.6332 MAIN BUILD.1/7,6332-1,police
5433,6332,https://www.lego.com/biassets/bi/4115460.pdf,https://www.lego.com/biassets/biimg/4115460.png,Police Headquarters,BUILD.INS.6332 HELI-PLATF.2/7,6332-1,police
5434,6332,https://www.lego.com/biassets/bi/4115461.pdf,https://www.lego.com/biassets/biimg/4115461.png,Police Headquarters,BUILD.INS. 6332 PRISON   3/7,6332-1,police
