ID,SetNumber,URL,Images,Description,Notes,DashedNumber,Preselect
114,76021,https://www.lego.com/biassets/bi/6090127.pdf,https://www.lego.com/biassets/biimg/6090127.png,The Milano Spaceship Rescue,BI 3016/60+4*- 76021 1/2 V29,76021-1,space
115,76021,https://www.lego.com/biassets/bi/6090131.pdf,https://www.lego.com/biassets/biimg/6090131.png,The Milano Spaceship Rescue,BI 3016/60+4*- 76021 1/2 V39,76021-1,space
116,76021,https://www.lego.com/biassets/bi/6090143.pdf,https://www.lego.com/biassets/biimg/6090143.png,The Milano Spaceship Rescue,"BI 3016/64+4, 76021 2/2 V29",76021-1,space
117,76021,https://www.lego.com/biassets/bi/6090144.pdf,https://www.lego.com/biassets/biimg/6090144.png,The Milano Spaceship Rescue,"BI 3016/64+4, 76021 2/2 V39",76021-1,space
207,76049,https://www.lego.com/biassets/bi/6155140.pdf,https://www.lego.com/biassets/biimg/6155140.png,Avenjet Space Mission,"BI 3017 / 112+4 / 65+200g, 76049 V29",76049-1,space
208,76049,https://www.lego.com/biassets/bi/6155141.pdf,https://www.lego.com/biassets/biimg/6155141.png,Avenjet Space Mission,"BI 3017 / 112+4 / 65+200g, 76049 V39",76049-1,space
613,1181,https://www.lego.com/biassets/bi/4128347.pdf,https://www.lego.com/biassets/biimg/4128347.png,SPACE JET,BUILD INSTRUCTION FOR 1181,1181-1,space
646,1266,https://www.lego.com/biassets/bi/4132641.pdf,https://www.lego.com/biassets/biimg/4132641.png,SPACE PROBE OLD 1181,BUILD.INST FOR 1266,1266-1,space
907,2543,https://www.lego.com/biassets/bi/4115722.pdf,https://www.lego.com/biassets/biimg/4115722.png,ALIEN SPACE PLANE,No longer listed at LEGO.com,2543-1,space
920,2847,https://www.lego.com/biassets/bi/4111794.pdf,https://www.lego.com/biassets/biimg/4111794.png,SPACE ALIEN PG1,No longer listed at LEGO.com,2847-1,space
939,2964,https://www.lego.com/biassets/bi/4120855.pdf,https://www.lego.com/biassets/biimg/4120855.png,SPACE INSECTOIDS - VEHICLE,BUILDING INSTR. FOR 2964,2964-1,space
940,2965,https://www.lego.com/biassets/bi/4120930.pdf,https://www.lego.com/biassets/biimg/4120930.png,SPACE INSECTOIDS - INSECT,BUILDING INSTR. FOR 2965,2965-1,space
976,3069,https://www.lego.com/biassets/bi/4125046.pdf,https://www.lego.com/biassets/biimg/4125046.png,SPACE JET,BUILDING INST. FOR 3069,3069-1,space
1109,3365,https://www.lego.com/biassets/bi/4617445.pdf,https://www.lego.com/biassets/biimg/4617445.png,Space Moon Buggy,BI 3001/24 - 3365 IN,3365-1,space
1110,3365,https://www.lego.com/biassets/bi/4617447.pdf,https://www.lego.com/biassets/biimg/4617447.png,Space Moon Buggy,BI 3001/24 - 3365 NA,3365-1,space
1113,3367,https://www.lego.com/biassets/bi/4648469.pdf,https://www.lego.com/biassets/biimg/4648469.png,Space Shuttle,BI 3005/72+4 - 3367 V.29,3367-1,space
1114,3367,https://www.lego.com/biassets/bi/4648470.pdf,https://www.lego.com/biassets/biimg/4648470.png,Space Shuttle,BI 3005/68+4 - 3367 V. 39,3367-1,space
1115,3367,https://www.lego.com/biassets/bi/6009628.pdf,https://www.lego.com/biassets/biimg/6009628.png,Space Shuttle,No longer listed at LEGO.com,3367-1,space
1116,3367,https://www.lego.com/biassets/bi/6009596.pdf,https://www.lego.com/biassets/biimg/6009596.png,Space Shuttle,No longer listed at LEGO.com,3367-1,space
