ID,SetNumber,URL,Images,Description,Notes,DashedNumber
1,7774,https://www.lego.com/biassets/bi/4512816.pdf,https://www.lego.com/biassets/biimg/4512816.png,Crab Crusher,"BI, 7774",7774-1
2,7775,https://www.lego.com/biassets/bi/4506888.pdf,https://www.lego.com/biassets/biimg/4506888.png,Aquabase Invasion,"BUILDING INSTRUC. BOOK 1, 7775",7775-1
3,7775,https://www.lego.com/biassets/bi/4506891.pdf,https://www.lego.com/biassets/biimg/4506891.png,Aquabase Invasion,"BUILDING INSTRU. BOOK 2, 7775",7775-1
4,7776,https://www.lego.com/biassets/bi/4506894.pdf,https://www.lego.com/biassets/biimg/4506894.png,The Shipwreck,"BI, 7776",7776-1
5,7778,https://www.lego.com/biassets/bi/4565315.pdf,https://www.lego.com/biassets/biimg/4565315.png,Mid-scale Millennium Falcon-„¢,BI 3006/48 - 7778,7778-1
6,7779,https://www.lego.com/biassets/bi/4492750.pdf,https://www.lego.com/biassets/biimg/4492750.png,The Batman-„¢ Dragster: Catwoman-„¢ Pursuit,BI 7779 NA,7779-1
7,7779,https://www.lego.com/biassets/bi/4492749.pdf,https://www.lego.com/biassets/biimg/4492749.png,The Batman-„¢ Dragster: Catwoman-„¢ Pursuit,BI  7779 IN,7779-1
8,7780,https://www.lego.com/biassets/bi/4493192.pdf,https://www.lego.com/biassets/biimg/4493192.png,The Batboat-„¢: Hunt for Killer Croc-„¢,BI 7780 NA,7780-1
9,7780,https://www.lego.com/biassets/bi/4493191.pdf,https://www.lego.com/biassets/biimg/4493191.png,The Batboat-„¢: Hunt for Killer Croc-„¢,BI 7780 IN,7780-1
10,7781,https://www.lego.com/biassets/bi/4495110.pdf,https://www.lego.com/biassets/biimg/4495110.png,The Batmobile-„¢: Two-Face's Escape,BI 7781 IN,7781-1
11,7781,https://www.lego.com/biassets/bi/4495111.pdf,https://www.lego.com/biassets/biimg/4495111.png,The Batmobile-„¢: Two-Face's Escape,BI 7781 NA,7781-1
12,7782,https://www.lego.com/biassets/bi/4492751.pdf,https://www.lego.com/biassets/biimg/4492751.png,The Batwing-„¢: The Joker's Aerial Assault,BI 7782 IN,7782-1
13,7782,https://www.lego.com/biassets/bi/4492752.pdf,https://www.lego.com/biassets/biimg/4492752.png,The Batwing-„¢: The Joker's Aerial Assault,BI 7782 NA,7782-1
14,7783,https://www.lego.com/biassets/bi/4497987.pdf,https://www.lego.com/biassets/biimg/4497987.png,The Batcave-„¢: The Penguin-„¢ and Mr. Freez,BI 7783-1 IN,7783-1
15,7783,https://www.lego.com/biassets/bi/4497992.pdf,https://www.lego.com/biassets/biimg/4497992.png,The Batcave-„¢: The Penguin-„¢ and Mr. Freez,BI 7783-2 IN,7783-1
16,7783,https://www.lego.com/biassets/bi/4497990.pdf,https://www.lego.com/biassets/biimg/4497990.png,The Batcave-„¢: The Penguin-„¢ and Mr. Freez,BI 7783-1 NA,7783-1
17,7783,https://www.lego.com/biassets/bi/4497994.pdf,https://www.lego.com/biassets/biimg/4497994.png,The Batcave-„¢: The Penguin-„¢ and Mr. Freez,BI 7783-2 NA,7783-1
18,7784,https://www.lego.com/biassets/bi/4496458.pdf,https://www.lego.com/biassets/biimg/4496458.png,The Batmobile-„¢: Ultimate Collectors' Edi,BI 7784 NA 2/2,7784-1
19,7784,https://www.lego.com/biassets/bi/4496455.pdf,https://www.lego.com/biassets/biimg/4496455.png,The Batmobile-„¢: Ultimate Collectors' Edi,BI  7784 1/2,7784-1
20,7784,https://www.lego.com/biassets/bi/4496457.pdf,https://www.lego.com/biassets/biimg/4496457.png,The Batmobile-„¢: Ultimate Collectors' Edi,BI 7784 IN 2/2,7784-1
21,7785,https://www.lego.com/biassets/bi/4503480.pdf,https://www.lego.com/biassets/biimg/4503480.png,Arkham Asylum-„¢,BI 7785-1 IN,7785-1
22,7785,https://www.lego.com/biassets/bi/4503481.pdf,https://www.lego.com/biassets/biimg/4503481.png,Arkham Asylum-„¢,BI 7785-1 NA,7785-1
23,7785,https://www.lego.com/biassets/bi/4499508.pdf,https://www.lego.com/biassets/biimg/4499508.png,Arkham Asylum-„¢,BI 7785-2 IN,7785-1
24,7785,https://www.lego.com/biassets/bi/4499509.pdf,https://www.lego.com/biassets/biimg/4499509.png,Arkham Asylum-„¢,BI 7785-2 NA,7785-1
25,7786,https://www.lego.com/biassets/bi/4519839.pdf,https://www.lego.com/biassets/biimg/4519839.png,The Batcopter-„¢: The Chase for Scarecrow,"BI, 7786",7786-1
26,7787,https://www.lego.com/biassets/bi/4517989.pdf,https://www.lego.com/biassets/biimg/4517989.png,The Bat-Tank-„¢: The Riddler-„¢ and Bane's H,"BI, 7787",7787-1
27,7789,https://www.lego.com/biassets/bi/4594927.pdf,https://www.lego.com/biassets/biimg/4594927.png,Lotso's Dump Truck,BI 3004/48 - 7789 V 29,7789-1
28,7789,https://www.lego.com/biassets/bi/4626100.pdf,https://www.lego.com/biassets/biimg/4626100.png,Lotso's Dump Truck,BI 3004/48 - 7789 V 39,7789-1
29,7793,https://www.lego.com/biassets/bi/4298129.pdf,https://www.lego.com/biassets/biimg/4298129.png,LEGO-TM Standard Starter Set,BUILD.INST. 3002 /7793/IN,7793-1
30,7795,https://www.lego.com/biassets/bi/4293743.pdf,https://www.lego.com/biassets/biimg/4293743.png,LEGO-TM Deluxe Starter Set,BUILDING INST. 3002 /7795,7795-1
31,7796,https://www.lego.com/biassets/bi/4524727.pdf,https://www.lego.com/biassets/biimg/4524727.png,House,"BUILDING INST.2001,7796 V29",7796-1
32,7796,https://www.lego.com/biassets/bi/4524728.pdf,https://www.lego.com/biassets/biimg/4524728.png,House,"BUILDING INST.2001,7796 V39",7796-1
33,7797,https://www.lego.com/biassets/bi/4524729.pdf,https://www.lego.com/biassets/biimg/4524729.png,Bi-Plane,"BUILDING INST.2001,7797 V29",7797-1
34,7797,https://www.lego.com/biassets/bi/4524730.pdf,https://www.lego.com/biassets/biimg/4524730.png,Bi-Plane,"BUILD. INST.2001,7797 v39/v46",7797-1
