"ID","SetNumber","URL","Images","Description","Notes","DashedNumber","Preselect"
"571","3300002","https://www.lego.com/biassets/bi/6008341.pdf","https://www.lego.com/biassets/biimg/6008341.png","Fire Place Scene","BI 3003/20 - 3300002 FIRE PLACE V46","3300002-1","fire"
"630","1248","https://www.lego.com/biassets/bi/4129320.pdf","https://www.lego.com/biassets/biimg/4129320.png","FIRE BOAT","BUILD. INST. FOR 1248","1248-1","fire"
"662","1294","https://www.lego.com/biassets/bi/4133285.pdf","https://www.lego.com/biassets/biimg/4133285.png","FIRE HELICOPTER","BUILD.INSTR. 1294","1294-1","fire"
"807","2235","https://www.lego.com/biassets/bi/4622252.pdf","https://www.lego.com/biassets/biimg/4622252.png","FIRE LORD","BI 3005/48 - 2235","2235-1","fire"
"859","2507","https://www.lego.com/biassets/bi/6020854.pdf","https://www.lego.com/biassets/biimg/6020854.png","Fire Temple","BI 3016 80+4*- 2507 3/3 29/39","2507-1","fire"
"860","2507","https://www.lego.com/biassets/bi/6020902.pdf","https://www.lego.com/biassets/biimg/6020902.png","Fire Temple","BI 3016 80+4*- 2507 3/3 29/39","2507-1","fire"
"861","2507","https://www.lego.com/biassets/bi/4645946.pdf","https://www.lego.com/biassets/biimg/4645946.png","Fire Temple","BI 3005/60 - 2507 V29/39 1/3","2507-1","fire"
"862","2507","https://www.lego.com/biassets/bi/4645947.pdf","https://www.lego.com/biassets/biimg/4645947.png","Fire Temple","BI 3016 80+4 - 2507 V29/39 2/3","2507-1","fire"
"863","2507","https://www.lego.com/biassets/bi/4645949.pdf","https://www.lego.com/biassets/biimg/4645949.png","Fire Temple","BI 3005/60 - 2507 V29/39 1/3","2507-1","fire"
"864","2507","https://www.lego.com/biassets/bi/4645950.pdf","https://www.lego.com/biassets/biimg/4645950.png","Fire Temple","BI 3016 80+4 - 2507 V29/39 2/3","2507-1","fire"
"963","3052","https://www.lego.com/biassets/bi/4124881.pdf","https://www.lego.com/biassets/biimg/4124881.png","Ninjas Fire Fortress","BUILDING INST. FOR 3052","3052-1","fire"
"4901","7670","https://www.lego.com/biassets/bi/4545597.pdf","https://www.lego.com/biassets/biimg/4545597.png","Hailfire Droid & Spider Droid ™","BI, 7670","7670-1","fire"
"5271","6138","https://www.lego.com/biassets/bi/4650595.pdf","https://www.lego.com/biassets/biimg/4650595.png","My First Fire Station","BI 3005/12 - 6138 V29","6138-1","fire"
"5272","6138","https://www.lego.com/biassets/bi/4655578.pdf","https://www.lego.com/biassets/biimg/4655578.png","My First Fire Station","No longer listed at LEGO.com","6138-1","fire"
"5273","6138","https://www.lego.com/biassets/bi/4645495.pdf","https://www.lego.com/biassets/biimg/4645495.png","My First Fire Station","BI 3005/12, 6138 V39","6138-1","fire"
"5301","6168","https://www.lego.com/biassets/bi/6003839.pdf","https://www.lego.com/biassets/biimg/6003839.png","Fire Station","BI 3005/16 GLUED, 6168 V29/V39","6168-1","fire"
"5311","6191","https://www.lego.com/biassets/bi/4547843.pdf","https://www.lego.com/biassets/biimg/4547843.png","LEGO™ Fire Fighter Building Set","BI 3001/24 - 6191 V39","6191-1","fire"
"5312","6191","https://www.lego.com/biassets/bi/4547838.pdf","https://www.lego.com/biassets/biimg/4547838.png","LEGO™ Fire Fighter Building Set","BI 3001/24 - 6191 - V29","6191-1","fire"
"5448","6407","https://www.lego.com/biassets/bi/4109219.pdf","https://www.lego.com/biassets/biimg/4109219.png","FIRE CHIEF CAR","BUILDINST.FIRE CHIEF  CAR 6407","6407-1","fire"
"5466","6429","https://www.lego.com/biassets/bi/4123526.pdf","https://www.lego.com/biassets/biimg/4123526.png","Fire-fighting boat","BUILDINST.FOR 6429 FIREBOAT1/2","6429-1","fire"
"5467","6429","https://www.lego.com/biassets/bi/4123527.pdf","https://www.lego.com/biassets/biimg/4123527.png","Fire-fighting boat","BUIL.INST. 6429 RUBBERBOAT 2/2","6429-1","fire"
"5537","6477","https://www.lego.com/biassets/bi/4128879.pdf","https://www.lego.com/biassets/biimg/4128879.png","Superpower Fire Engine","BUILD.INST.FOR 6477 LIFT  2/3","6477-1","fire"
"5538","6477","https://www.lego.com/biassets/bi/4128880.pdf","https://www.lego.com/biassets/biimg/4128880.png","Superpower Fire Engine","BUILD. INST. 6477 TRAILER 3/3","6477-1","fire"
"5539","6477","https://www.lego.com/biassets/bi/4128881.pdf","https://www.lego.com/biassets/biimg/4128881.png","Superpower Fire Engine","BUILD. INST. 6477 FRONT 1/3","6477-1","fire"
"5540","6478","https://www.lego.com/biassets/bi/4128873.pdf","https://www.lego.com/biassets/biimg/4128873.png","Fire Station","BUILD.INST.6478 HELICOPTER 5/6","6478-1","fire"
"5541","6478","https://www.lego.com/biassets/bi/4128874.pdf","https://www.lego.com/biassets/biimg/4128874.png","Fire Station","BUILD.INST.6478 MOTORCYCLE 6/6","6478-1","fire"
"5542","6478","https://www.lego.com/biassets/bi/4128875.pdf","https://www.lego.com/biassets/biimg/4128875.png","Fire Station","BUILD.INSTR.6478 CONTR.TOW.4/6","6478-1","fire"
"5543","6478","https://www.lego.com/biassets/bi/4128876.pdf","https://www.lego.com/biassets/biimg/4128876.png","Fire Station","BUILD.INST.6478 GARAGE 2 2/6","6478-1","fire"
"5544","6478","https://www.lego.com/biassets/bi/4128877.pdf","https://www.lego.com/biassets/biimg/4128877.png","Fire Station","BUILDINST. 6478 GARAGE 1 1/6","6478-1","fire"
"5545","6478","https://www.lego.com/biassets/bi/4128878.pdf","https://www.lego.com/biassets/biimg/4128878.png","Fire Station","BUILD.INST.6478 LADDER CAR 3/6","6478-1","fire"
"5548","6486","https://www.lego.com/biassets/bi/4109196.pdf","https://www.lego.com/biassets/biimg/4109196.png","FIRE CAR","BUILD. INSTR. FIRE ENGINE 6486","6486-1","fire"
"5549","6486","https://www.lego.com/biassets/bi/4109197.pdf","https://www.lego.com/biassets/biimg/4109197.png","FIRE CAR","BUILD. INSTR. TRAILER 6486","6486-1","fire"
"5578","6554","https://www.lego.com/biassets/bi/4109207.pdf","https://www.lego.com/biassets/biimg/4109207.png","FIRE STATION","BUILDINSTR. FIRE STATION 6554","6554-1","fire"
"5579","6554","https://www.lego.com/biassets/bi/4109208.pdf","https://www.lego.com/biassets/biimg/4109208.png","FIRE STATION","BUILDINS. FIRE STATION (1)6554","6554-1","fire"
"5580","6554","https://www.lego.com/biassets/bi/4109209.pdf","https://www.lego.com/biassets/biimg/4109209.png","FIRE STATION","BUILDINST. FIRE STATION(2)6554","6554-1","fire"
"5581","6554","https://www.lego.com/biassets/bi/4109210.pdf","https://www.lego.com/biassets/biimg/4109210.png","FIRE STATION","BUILD. INSTR. FIRE ENGINE 6554","6554-1","fire"
"5582","6554","https://www.lego.com/biassets/bi/4109211.pdf","https://www.lego.com/biassets/biimg/4109211.png","FIRE STATION","BUILD. INSTR. TRUCK 6554","6554-1","fire"
"5583","6554","https://www.lego.com/biassets/bi/4109212.pdf","https://www.lego.com/biassets/biimg/4109212.png","FIRE STATION","BUILD. INSTR. HELIKOPTER 6554","6554-1","fire"
"5608","6580","https://www.lego.com/biassets/bi/4115751.pdf","https://www.lego.com/biassets/biimg/4115751.png","Fireball","BUILDING INSTR. 6580","6580-1","fire"
