ID,SetNumber,URL,Images,Description,Notes,DashedNumber,Preselect
141,76027,https://www.lego.com/biassets/bi/6112185.pdf,https://www.lego.com/biassets/biimg/6112185.png,Black Manta Deep Sea Strike,BI 3004/36 76027 V29 3/3,76027-1,deep sea
142,76027,https://www.lego.com/biassets/bi/6112187.pdf,https://www.lego.com/biassets/biimg/6112187.png,Black Manta Deep Sea Strike,BI 3004/36 76027 V39 3/3,76027-1,deep sea
143,76027,https://www.lego.com/biassets/bi/6112182.pdf,https://www.lego.com/biassets/biimg/6112182.png,Black Manta Deep Sea Strike,BI 3004/52 - 76027 V29 2/3,76027-1,deep sea
144,76027,https://www.lego.com/biassets/bi/6112183.pdf,https://www.lego.com/biassets/biimg/6112183.png,Black Manta Deep Sea Strike,BI 3004/52 - 76027 V39 2/3,76027-1,deep sea
145,76027,https://www.lego.com/biassets/bi/6112178.pdf,https://www.lego.com/biassets/biimg/6112178.png,Black Manta Deep Sea Strike,BI 3004/56 - 76027 V29 1/3,76027-1,deep sea
146,76027,https://www.lego.com/biassets/bi/6112179.pdf,https://www.lego.com/biassets/biimg/6112179.png,Black Manta Deep Sea Strike,BI 3004/56 - 76027 V39 1/3,76027-1,deep sea
2671,7770,https://www.lego.com/biassets/bi/4505800.pdf,https://www.lego.com/biassets/biimg/4505800.png,Deep Sea Treasure Hunter,"BI, 7770",7770-1,deep sea
3012,7984,https://www.lego.com/biassets/bi/4624973.pdf,https://www.lego.com/biassets/biimg/4624973.png,Deep Sea Raider,BI 3005/48 - 7984 V 29,7984-1,deep sea
3013,7984,https://www.lego.com/biassets/bi/4624974.pdf,https://www.lego.com/biassets/biimg/4624974.png,Deep Sea Raider,BI 3005/48 - 7984 V 39,7984-1,deep sea
3147,8076,https://www.lego.com/biassets/bi/4594851.pdf,https://www.lego.com/biassets/biimg/4594851.png,Deep Sea Striker,BI 3002 - 68+4 - 8076 V29,8076-1,deep sea
3148,8076,https://www.lego.com/biassets/bi/4594853.pdf,https://www.lego.com/biassets/biimg/4594853.png,Deep Sea Striker,BI 3002 - 68+4 - 8076 V39,8076-1,deep sea
