ID,SetNumber,URL,Images,Description,Notes,DashedNumber,Preselect
658,1290,https://www.lego.com/biassets/bi/4132920.pdf,https://www.lego.com/biassets/biimg/4132920.png,VOLCANO CLIMBER,BUILDING INSTR. 1290,1290-1,volcano
3037,8003,https://www.lego.com/biassets/bi/4133264.pdf,https://www.lego.com/biassets/biimg/4133264.png,Volcano Climber,BUILDING INST. 8003,8003-1,volcano
1992,8637,https://www.lego.com/biassets/bi/4538044.pdf,https://www.lego.com/biassets/biimg/4538044.png,Volcano Base,"BUILD INSTR 3005, 8637 1/2",8637-1,volcano
1993,8637,https://www.lego.com/biassets/bi/4538045.pdf,https://www.lego.com/biassets/biimg/4538045.png,Volcano Base,"BUILD INSTR 3005, 8637 2/2",8637-1,volcano
8019,30350,https://www.lego.com/biassets/bi/6162516.pdf,https://www.lego.com/biassets/biimg/6162516.png,Volcano Jackhammer,BI 2002/ 2 - 30350 V29,30350-1,volcano
8020,30350,https://www.lego.com/biassets/bi/6162519.pdf,https://www.lego.com/biassets/biimg/6162519.png,Volcano Jackhammer,BI 2002/ 2 - 30350 V39,30350-1,volcano
10875,60120,https://www.lego.com/biassets/bi/6162759.pdf,https://www.lego.com/biassets/biimg/6162759.png,Volcano Starter Set,"BI 3003/32, 60120 V29",60120-1,volcano
10876,60120,https://www.lego.com/biassets/bi/6162760.pdf,https://www.lego.com/biassets/biimg/6162760.png,Volcano Starter Set,"BI 3003/32, 60120 V39",60120-1,volcano
10877,60121,https://www.lego.com/biassets/bi/6163216.pdf,https://www.lego.com/biassets/biimg/6163216.png,CITY Volcano Value Pack,No longer listed at LEGO.com,60121-1,volcano
10878,60121,https://www.lego.com/biassets/bi/6163223.pdf,https://www.lego.com/biassets/biimg/6163223.png,Volcano Exploration Truck,No longer listed at LEGO.com,60121-1,volcano
10879,60121,https://www.lego.com/biassets/bi/6201409.pdf,https://www.lego.com/biassets/biimg/6201409.png,CITY Volcano Value Pack,"BI 3004/72+4*,60121 V29",60121-1,volcano
10880,60121,https://www.lego.com/biassets/bi/6201411.pdf,https://www.lego.com/biassets/biimg/6201411.png,Volcano Exploration Truck,BI 3004/72+4*-60121 V39,60121-1,volcano
10881,60122,https://www.lego.com/biassets/bi/6162523.pdf,https://www.lego.com/biassets/biimg/6162523.png,CITY Volcano Value Pack,No longer listed at LEGO.com,60122-1,volcano
10882,60122,https://www.lego.com/biassets/bi/6162524.pdf,https://www.lego.com/biassets/biimg/6162524.png,Volcano Crawler,No longer listed at LEGO.com,60122-1,volcano
10883,60122,https://www.lego.com/biassets/bi/6162527.pdf,https://www.lego.com/biassets/biimg/6162527.png,CITY Volcano Value Pack,No longer listed at LEGO.com,60122-1,volcano
10884,60122,https://www.lego.com/biassets/bi/6162528.pdf,https://www.lego.com/biassets/biimg/6162528.png,Volcano Crawler,No longer listed at LEGO.com,60122-1,volcano
10885,60122,https://www.lego.com/biassets/bi/6162525.pdf,https://www.lego.com/biassets/biimg/6162525.png,CITY Volcano Value Pack,No longer listed at LEGO.com,60122-1,volcano
10886,60122,https://www.lego.com/biassets/bi/6162526.pdf,https://www.lego.com/biassets/biimg/6162526.png,Volcano Crawler,No longer listed at LEGO.com,60122-1,volcano
10887,60122,https://www.lego.com/biassets/bi/6201412.pdf,https://www.lego.com/biassets/biimg/6201412.png,CITY Volcano Value Pack,"BI 3004/20, 60122 1/3 V29",60122-1,volcano
10888,60122,https://www.lego.com/biassets/bi/6201413.pdf,https://www.lego.com/biassets/biimg/6201413.png,Volcano Crawler,"BI 3004/20, 60122 1/3 V39",60122-1,volcano
10889,60122,https://www.lego.com/biassets/bi/6201414.pdf,https://www.lego.com/biassets/biimg/6201414.png,CITY Volcano Value Pack,"BI 3017 / 60+4 - 65/115g, 60122 2/3 V29",60122-1,volcano
10890,60122,https://www.lego.com/biassets/bi/6201415.pdf,https://www.lego.com/biassets/biimg/6201415.png,Volcano Crawler,"BI 3017/60+4,65/115G,60122 2/3 V39",60122-1,volcano
10891,60122,https://www.lego.com/biassets/bi/6201417.pdf,https://www.lego.com/biassets/biimg/6201417.png,CITY Volcano Value Pack,"BI 3017/36,65G,60122 3/3 V29",60122-1,volcano
10892,60122,https://www.lego.com/biassets/bi/6201418.pdf,https://www.lego.com/biassets/biimg/6201418.png,Volcano Crawler,"BI 3017/36,65G, 60122 3/3 V39",60122-1,volcano
